frame,timestamp,person_id,vehicle_id,centroid_x,centroid_y,in_roi,dwell_time,history_len
227,7.54,7,1,368.4,156.7,True,0.03,1
227,7.54,8,4,250.9,213.6,True,0.3,9
228,7.57,6,5,295.1,203.6,True,0.77,23
228,7.57,7,1,372.6,155.6,True,0.07,2
228,7.57,8,4,252.9,213.0,True,0.33,10
229,7.61,6,5,298.1,203.9,True,0.8,24
229,7.61,7,1,376.7,154.4,True,0.1,3
229,7.61,8,4,250.8,215.0,True,0.37,11
230,7.64,6,5,301.2,203.8,True,0.83,25
230,7.64,7,1,380.8,153.2,True,0.13,4
230,7.64,8,4,251.5,214.3,True,0.4,12
231,7.67,6,12,292.8,200.8,True,0,0
231,7.67,7,1,384.8,152.1,True,0.17,5
231,7.67,8,4,249.8,213.1,True,0.43,13
232,7.71,6,12,293.9,200.6,True,0.03,1
232,7.71,7,1,388.9,150.9,True,0.2,6
232,7.71,8,4,251.3,213.6,True,0.47,14
233,7.74,6,12,294.1,200.8,True,0.07,2
233,7.74,7,1,393.0,149.7,True,0.23,7
233,7.74,8,4,253.0,212.5,True,0.5,15
234,7.77,6,12,294.7,200.4,True,0.1,3
234,7.77,7,1,397.1,148.5,True,0.27,8
234,7.77,8,4,254.3,211.5,True,0.53,16
235,7.81,6,12,295.2,199.9,True,0.13,4
235,7.81,7,1,401.2,147.4,True,0.3,9
235,7.81,8,4,255.3,210.7,True,0.57,17
236,7.84,6,12,295.3,199.2,True,0.17,5
236,7.84,7,1,405.2,146.2,True,0.33,10
236,7.84,8,4,258.3,210.5,True,0.6,18
237,7.87,6,12,295.5,198.4,True,0.2,6
237,7.87,7,1,409.3,145.0,True,0.37,11
237,7.87,8,4,259.3,210.9,True,0.63,19
238,7.91,6,12,296.2,198.1,True,0.23,7
238,7.91,7,1,413.4,143.8,True,0.4,12
238,7.91,8,4,260.6,209.1,True,0.67,20
239,7.94,6,12,297.2,197.6,True,0.27,8
239,7.94,7,1,417.5,142.7,True,0.43,13
239,7.94,8,4,261.0,207.6,True,0.7,21
240,7.97,6,12,297.4,197.7,True,0.3,9
240,7.97,7,1,421.6,141.5,True,0.47,14
240,7.97,8,4,261.1,206.9,True,0.73,22
241,8.01,6,12,297.3,198.2,True,0.33,10
241,8.01,7,1,425.6,140.3,True,0.5,15
241,8.01,8,4,261.8,206.6,True,0.77,23
242,8.04,6,12,298.0,197.5,True,0.37,11
242,8.04,7,1,429.7,139.1,True,0.53,16
242,8.04,8,4,262.1,206.7,True,0.8,24
243,8.07,6,12,298.2,197.5,True,0.4,12
243,8.07,7,5,440.5,151.3,True,1.23,10
243,8.07,8,4,257.8,206.2,True,0.83,25
244,8.11,6,12,298.9,196.7,True,0.43,13
244,8.11,7,5,446.9,149.4,True,1.27,11
244,8.11,8,4,258.3,206.1,True,0.87,26
245,8.14,6,12,299.6,196.2,True,0.47,14
245,8.14,7,5,453.3,147.4,True,1.3,12
245,8.14,8,4,258.9,206.0,True,0.9,27
246,8.17,6,12,300.2,196.0,True,0.5,15
246,8.17,7,5,459.7,145.5,True,1.33,13
246,8.17,8,4,259.7,205.3,True,0.93,28
247,8.21,6,12,300.8,195.5,True,0.53,16
247,8.21,7,5,466.1,143.6,True,1.37,14
247,8.21,8,4,259.8,205.1,True,0.97,29
248,8.24,6,12,301.4,195.1,True,0.57,17
248,8.24,7,5,472.5,141.6,True,1.4,15
248,8.24,8,4,259.7,203.0,True,1.0,30
249,8.27,6,12,302.0,194.7,True,0.6,18
249,8.27,7,5,478.9,139.7,True,1.43,16
249,8.27,8,4,259.9,203.5,True,1.03,31
250,8.31,6,12,302.5,194.3,True,0.63,19
250,8.31,7,5,485.3,137.8,True,1.47,17
250,8.31,8,4,259.8,203.5,True,1.07,32
251,8.34,6,12,303.0,193.9,True,0.67,20
251,8.34,7,5,491.7,135.8,True,1.5,18
251,8.34,8,14,259.9,202.3,True,0,0
252,8.38,6,12,303.5,193.6,True,0.7,21
252,8.38,7,5,498.1,133.9,True,1.53,19
252,8.38,8,14,259.9,202.2,True,0.03,1
253,8.41,6,12,304.1,193.2,True,0.73,22
253,8.41,7,5,504.5,132.0,False,1.57,20
253,8.41,8,14,259.7,200.9,True,0.07,2
254,8.44,6,12,304.7,192.8,True,0.77,23
254,8.44,7,5,510.9,130.0,False,0,0
254,8.44,8,14,259.3,200.6,True,0.1,3
255,8.48,6,12,305.2,192.4,True,0.8,24
255,8.48,7,5,517.3,128.1,False,0,0
255,8.48,8,14,259.1,200.9,True,0.13,4
256,8.51,6,12,305.8,192.0,True,0.83,25
256,8.51,7,5,523.7,126.1,False,0,0
256,8.51,8,14,259.4,201.0,True,0.17,5
257,8.54,6,12,306.4,191.7,True,0.87,26
257,8.54,7,5,530.1,124.2,False,0,0
257,8.54,8,14,259.1,199.6,True,0.2,6
258,8.58,6,12,306.9,191.3,True,0.9,27
258,8.58,7,5,536.5,122.3,False,0,0
258,8.58,8,14,258.9,197.6,True,0.23,7
259,8.61,6,12,307.5,190.9,True,0.93,28
259,8.61,7,5,542.9,120.3,False,0,0
259,8.61,8,14,261.0,195.1,True,0.27,8
260,8.64,6,12,308.1,190.5,True,0.97,29
260,8.64,7,5,549.3,118.4,False,0,0
260,8.64,8,14,260.5,194.5,True,0.3,9
261,8.68,6,12,308.7,190.1,True,1.0,30
261,8.68,7,5,555.7,116.5,False,0,0
261,8.68,8,14,260.0,193.6,True,0.33,10
262,8.71,6,14,259.6,182.9,True,0,0
262,8.71,7,5,562.1,114.5,False,0,0
262,8.71,8,14,260.0,191.8,True,0.37,11
263,8.74,6,14,258.5,181.6,True,0.03,1
263,8.74,7,5,568.5,112.6,False,0,0
263,8.74,8,14,260.8,189.8,True,0.4,12
264,8.78,6,14,258.3,180.6,True,0.07,2
264,8.78,7,5,574.9,110.7,False,0,0
264,8.78,8,14,262.6,188.8,True,0.43,13
265,8.81,6,14,258.5,179.3,True,0.1,3
265,8.81,7,5,581.3,108.7,False,0,0
265,8.81,8,14,263.7,187.7,True,0.47,14
266,8.84,6,4,256.1,175.7,True,0,0
266,8.84,7,5,587.7,106.8,False,0,0
266,8.84,8,4,258.1,182.3,True,1.6,33
267,8.88,6,4,255.8,174.6,True,0.03,1
267,8.88,7,5,594.1,104.9,False,0,0
267,8.88,8,4,259.5,180.7,True,1.63,34
268,8.91,6,4,255.5,173.4,True,0.07,2
268,8.91,7,5,600.5,102.9,False,0,0
268,8.91,8,4,260.0,179.3,True,1.67,35
269,8.94,6,4,255.1,172.2,True,0.1,3
269,8.94,7,5,606.9,101.0,False,0,0
269,8.94,8,4,259.9,180.9,True,1.7,36
270,8.98,6,14,258.4,170.6,True,0.27,4
270,8.98,7,5,613.3,99.1,False,0,0
270,8.98,8,14,263.8,179.5,True,0.63,15
271,9.01,6,14,258.8,169.2,True,0.3,5
271,9.01,7,5,619.7,97.1,False,0,0
271,9.01,8,14,264.9,178.3,True,0.67,16
272,9.04,6,14,260.5,168.3,True,0.33,6
272,9.04,7,5,626.1,95.2,False,0,0
272,9.04,8,14,267.3,177.6,True,0.7,17
273,9.08,6,14,260.4,166.8,True,0.37,7
273,9.08,7,5,632.5,93.3,False,0,0
273,9.08,8,14,267.8,176.4,True,0.73,18
274,9.11,6,14,260.3,165.4,True,0.4,8
274,9.11,7,5,638.9,91.3,False,0,0
274,9.11,8,14,268.3,175.1,True,0.77,19
275,9.14,6,14,260.2,164.0,True,0.43,9
275,9.14,7,5,645.3,89.4,False,0,0
275,9.14,8,14,268.8,173.9,True,0.8,20
276,9.18,6,14,260.0,162.5,True,0.47,10
276,9.18,7,5,651.7,87.5,False,0,0
276,9.18,8,14,269.3,172.7,True,0.83,21
277,9.21,6,14,259.9,161.1,True,0.5,11
277,9.21,7,5,658.1,85.5,False,0,0
277,9.21,8,14,269.8,171.5,True,0.87,22
278,9.24,6,14,259.8,159.7,True,0.53,12
278,9.24,7,5,664.5,83.6,False,0,0
278,9.24,8,14,270.3,170.3,True,0.9,23
279,9.28,6,14,259.7,158.2,True,0.57,13
279,9.28,7,5,670.9,81.7,False,0,0
279,9.28,8,14,270.8,169.0,True,0.93,24
280,9.31,6,4,257.1,159.8,True,0.47,4
280,9.31,7,5,677.3,79.7,False,0,0
280,9.31,8,4,264.6,170.8,True,2.07,37
281,9.34,6,4,253.0,158.5,True,0.5,5
281,9.34,7,5,683.7,77.8,False,0,0
281,9.34,8,4,262.0,170.1,True,2.1,38
282,9.38,6,4,251.4,157.9,True,0.53,6
282,9.38,7,5,690.1,75.9,False,0,0
282,9.38,8,4,261.8,170.2,True,2.14,39
283,9.41,6,4,250.2,156.8,True,0.57,7
283,9.41,7,5,696.5,73.9,False,0,0
283,9.41,8,4,261.5,169.2,True,2.17,40
284,9.44,6,4,249.0,155.8,True,0.6,8
284,9.44,7,5,702.9,72.0,False,0,0
284,9.44,8,4,261.6,168.3,True,2.2,41
285,9.48,6,4,247.8,154.7,True,0.63,9
285,9.48,7,5,709.3,70.1,False,0,0
285,9.48,8,4,261.0,167.3,True,2.24,42
286,9.51,6,4,246.6,153.6,True,0.67,10
286,9.51,8,14,273.9,174.3,True,1.17,25
287,9.54,6,4,245.4,152.6,True,0.7,11
287,9.54,8,14,273.4,173.7,True,1.2,26
288,9.58,6,4,244.2,151.5,True,0.73,12
288,9.58,8,14,274.3,173.3,True,1.23,27
289,9.61,6,4,242.9,150.4,True,0.77,13
289,9.61,8,14,273.6,172.8,True,1.27,28
290,9.64,6,4,241.7,149.4,True,0.8,14
290,9.64,8,14,273.0,171.5,True,1.3,29
291,9.68,6,4,240.5,148.3,True,0.83,15
291,9.68,8,14,272.7,169.8,True,1.33,30
292,9.71,6,4,239.3,147.2,True,0.87,16
292,9.71,8,14,271.0,168.7,True,1.37,31
293,9.74,6,4,238.1,146.2,True,0.9,17
293,9.74,8,14,267.6,169.3,True,1.4,32
294,9.78,6,4,236.9,145.1,True,0.93,18
294,9.78,8,14,266.9,169.1,True,1.43,33
295,9.81,6,4,235.7,144.1,True,0.97,19
295,9.81,8,14,266.6,168.4,True,1.47,34
296,9.84,6,4,234.5,143.0,True,1.0,20
296,9.84,8,14,266.4,168.9,True,1.5,35
297,9.88,6,4,233.2,141.9,True,1.03,21
297,9.88,8,14,266.1,169.5,True,1.53,36
298,9.91,6,4,232.0,140.9,True,1.07,22
298,9.91,8,14,265.7,169.8,True,1.57,37
299,9.94,6,4,230.8,139.8,True,1.1,23
299,9.94,8,14,264.3,170.9,True,1.6,38
300,9.98,6,4,229.6,138.7,True,1.13,24
300,9.98,8,14,264.0,171.4,True,1.63,39
301,10.01,6,4,228.4,137.7,True,1.17,25
301,10.01,8,14,263.6,171.3,True,1.67,40
302,10.04,6,4,227.2,136.6,True,1.2,26
302,10.04,8,14,263.3,171.3,True,1.7,41
303,10.08,6,4,226.0,135.5,True,1.23,27
303,10.08,8,14,263.2,170.9,True,1.74,42
304,10.11,6,4,224.8,134.5,True,1.27,28
304,10.11,8,14,263.8,165.5,True,1.77,43
305,10.14,6,4,223.6,133.4,True,1.3,29
305,10.14,8,14,263.8,163.3,True,1.8,44
306,10.18,6,4,222.3,132.3,True,1.33,30
306,10.18,8,14,263.6,160.9,True,1.84,45
307,10.21,6,4,221.1,131.3,True,1.37,31
307,10.21,8,14,263.6,161.2,True,1.87,46
308,10.24,6,4,219.9,130.2,True,1.4,32
308,10.24,8,14,263.1,159.1,True,1.9,47
309,10.28,6,4,218.7,129.1,True,1.43,33
309,10.28,8,14,262.2,158.3,True,1.94,48
310,10.31,6,4,217.5,128.1,True,1.47,34
310,10.31,8,14,261.7,155.2,True,1.97,49
311,10.34,6,4,216.3,127.0,True,1.5,35
311,10.34,8,14,260.9,154.5,True,2.0,50
312,10.38,6,4,215.1,125.9,True,1.53,36
312,10.38,8,14,260.5,155.1,True,2.04,51
313,10.41,6,4,213.9,124.9,True,1.57,37
313,10.41,8,14,260.0,155.5,True,2.07,52
314,10.44,6,4,212.6,123.8,True,1.6,38
314,10.44,8,14,259.5,156.2,True,2.1,53
315,10.48,6,4,211.4,122.8,True,1.63,39
315,10.48,8,14,259.7,156.5,True,2.14,54
316,10.51,6,4,210.2,121.7,True,1.67,40
316,10.51,8,14,259.1,157.3,True,2.17,55
317,10.54,6,4,209.0,120.6,True,1.7,41
317,10.54,8,14,258.9,157.2,True,2.2,56
318,10.58,6,4,207.8,119.6,True,1.74,42
318,10.58,8,14,258.1,156.6,True,2.24,57
319,10.61,6,4,206.6,118.5,True,1.77,43
319,10.61,8,14,256.3,152.8,True,2.27,58
320,10.64,6,4,205.4,117.4,True,1.8,44
320,10.64,8,14,255.4,151.3,True,2.3,59
321,10.68,6,4,204.2,116.4,True,1.84,45
321,10.68,8,14,254.8,150.4,True,2.34,60
322,10.71,6,4,203.0,115.3,True,1.87,46
322,10.71,8,14,254.9,149.4,True,2.37,61
323,10.74,6,4,201.7,114.2,True,1.9,47
323,10.74,8,14,254.6,149.3,True,2.4,62
324,10.78,6,4,200.5,113.2,True,1.94,48
324,10.78,8,14,254.4,148.2,True,2.44,63
325,10.81,6,4,199.3,112.1,False,1.97,49
325,10.81,8,14,253.4,147.1,True,2.47,64
326,10.84,6,4,198.1,111.0,False,0,0
326,10.84,8,14,253.5,147.0,True,2.5,65
327,10.88,6,4,196.9,110.0,False,0,0
327,10.88,8,14,253.3,146.5,True,2.54,66
328,10.91,6,4,195.7,108.9,False,0,0
328,10.91,8,14,253.1,146.2,True,2.57,67
329,10.94,6,4,194.5,107.8,False,0,0
329,10.94,8,14,252.5,146.2,True,2.6,68
330,10.98,6,4,193.3,106.8,False,0,0
330,10.98,8,14,251.7,145.8,True,2.64,69
331,11.01,6,4,192.0,105.7,False,0,0
331,11.01,8,14,251.1,145.7,True,2.67,70
332,11.04,6,4,190.8,104.6,False,0,0
332,11.04,8,14,251.0,144.0,True,2.7,71
333,11.08,6,4,189.6,103.6,False,0,0
333,11.08,8,14,250.6,144.9,True,2.74,72
334,11.11,6,4,188.4,102.5,False,0,0
334,11.11,8,14,250.2,144.8,True,2.77,73
335,11.14,6,4,187.2,101.4,False,0,0
335,11.14,8,14,249.6,144.4,True,2.8,74
336,11.18,6,4,186.0,100.4,False,0,0
336,11.18,8,14,249.3,144.0,True,2.84,75
337,11.21,6,4,184.8,99.3,False,0,0
337,11.21,8,14,248.9,143.7,True,2.87,76
338,11.24,6,4,183.6,98.3,False,0,0
338,11.24,8,14,248.7,143.4,True,2.9,77
339,11.28,6,4,182.4,97.2,False,0,0
339,11.28,8,14,248.3,143.3,True,2.94,78
340,11.31,6,4,181.1,96.1,False,0,0
340,11.31,8,14,248.1,143.2,True,2.97,79
341,11.34,6,4,179.9,95.1,False,0,0
341,11.34,8,14,247.9,143.1,True,3.0,80
342,11.38,6,4,178.7,94.0,False,0,0
342,11.38,8,14,247.7,143.0,True,3.04,81
343,11.41,6,4,177.5,92.9,False,0,0
343,11.41,8,14,247.6,142.6,True,3.07,82
344,11.44,6,4,176.3,91.9,False,0,0
344,11.44,8,14,247.2,142.4,True,3.1,83
345,11.48,6,4,175.1,90.8,False,0,0
345,11.48,8,14,246.8,142.3,True,3.14,84
346,11.51,6,4,173.9,89.7,False,0,0
346,11.51,8,14,247.0,142.3,True,3.17,85
347,11.54,6,4,172.7,88.7,False,0,0
347,11.54,8,14,246.9,142.2,True,3.2,86
348,11.58,6,4,171.4,87.6,False,0,0
348,11.58,8,14,246.0,142.0,True,3.24,87
349,11.61,6,4,170.2,86.5,False,0,0
349,11.61,8,14,245.6,142.0,True,3.27,88
350,11.64,6,4,169.0,85.5,False,0,0
350,11.64,8,14,245.4,141.8,True,3.3,89
351,11.68,6,4,167.8,84.4,False,0,0
351,11.68,8,14,245.9,141.8,True,3.34,90
352,11.71,6,4,166.6,83.3,False,0,0
352,11.71,8,14,245.7,141.3,True,3.37,91
353,11.75,6,4,165.4,82.3,False,0,0
353,11.75,8,14,245.0,140.7,True,3.4,92
354,11.78,8,14,244.6,140.0,True,3.44,93
355,11.81,8,14,243.9,139.5,True,3.47,94
356,11.85,8,14,244.1,139.3,True,3.5,95
357,11.88,8,14,243.6,139.0,True,3.54,96
358,11.91,8,14,242.9,138.3,True,3.57,97
359,11.95,8,14,246.2,142.7,True,3.6,98
360,11.98,8,14,245.8,142.4,True,3.64,99
361,12.01,8,14,245.6,142.4,True,3.67,100
362,12.05,8,14,245.4,142.2,True,3.7,101
363,12.08,8,14,245.1,142.0,True,3.74,102
364,12.11,8,14,244.9,141.9,True,3.77,103
365,12.15,8,14,244.7,141.7,True,3.8,104
366,12.18,8,14,244.4,141.5,True,3.84,105
367,12.21,8,14,244.2,141.3,True,3.87,106
368,12.25,8,14,244.0,141.2,True,3.9,107
369,12.28,8,14,243.7,141.0,True,3.94,108
370,12.31,8,14,243.5,140.8,True,3.97,109
371,12.35,8,14,243.3,140.6,True,4.0,110
372,12.38,8,14,243.0,140.5,True,4.04,111
373,12.41,8,14,242.8,140.3,True,4.07,112
374,12.45,8,14,242.6,140.1,True,4.1,113
375,12.48,8,14,241.6,140.3,True,4.14,114
376,12.51,8,14,241.0,140.8,True,4.17,115
377,12.55,8,14,240.7,140.7,True,4.2,116
378,12.58,8,14,240.4,140.7,True,4.24,117
379,12.61,8,14,240.1,140.6,True,4.27,118
380,12.65,8,14,239.8,140.5,True,4.3,119
381,12.68,8,14,239.5,140.4,True,4.34,120
382,12.71,8,14,239.2,140.3,True,4.37,121
383,12.75,8,14,238.9,140.2,True,4.4,122
384,12.78,8,14,238.6,140.1,True,4.44,123
385,12.81,8,14,238.3,140.0,True,4.47,124
386,12.85,8,14,238.0,140.0,True,4.5,125
387,12.88,8,14,237.7,139.9,True,4.54,126
388,12.91,8,14,237.4,139.8,True,4.57,127
389,12.95,8,14,237.1,139.7,True,4.6,128
390,12.98,8,14,236.8,139.6,True,4.64,129
391,13.01,8,14,236.5,139.5,True,4.67,130
392,13.05,8,14,236.2,139.4,True,4.7,131
393,13.08,8,14,235.9,139.3,True,4.74,132
394,13.11,8,14,235.5,139.3,True,4.77,133
395,13.15,8,14,235.2,139.2,True,4.8,134
396,13.18,8,14,234.9,139.1,True,4.84,135
397,13.21,8,14,234.6,139.0,True,4.87,136
398,13.25,8,14,234.3,138.9,True,4.9,137
399,13.28,8,14,234.0,138.8,True,4.94,138
400,13.31,8,14,233.7,138.7,True,4.97,139
401,13.35,8,14,233.4,138.6,True,5.01,140
402,13.38,8,14,233.1,138.5,True,5.04,141
403,13.41,8,14,232.8,138.5,True,5.07,142
404,13.45,8,14,232.5,138.4,True,5.11,143
405,13.48,8,14,232.2,138.3,True,5.14,144
406,13.51,8,14,231.9,138.2,True,5.17,145
407,13.55,8,14,231.6,138.1,True,5.21,146
408,13.58,8,14,231.3,138.0,True,5.24,147
409,13.61,8,14,231.0,137.9,True,5.27,148
